Linux 5.15.0-160-generic (node0.bottleneck2.davissystems-pg0.utah.cloudlab.us) 	02/17/2026 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.81    0.00    0.90    0.78    0.00   96.52

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0           41.82    582.69     0.00   0.00    0.15    13.93   49.34    359.87     0.00   0.00    2.62     7.29    0.00      0.00     0.00   0.00    0.00     0.00   11.66   10.62    0.26  13.18
loop1            8.00     81.52     0.00   0.00    0.06    10.19    4.99     19.08     0.00   0.00    0.28     3.82    0.00      0.00     0.00   0.00    0.00     0.00    0.38    2.73    0.00   0.17
loop10           1.26      9.87     0.00   0.00    0.23     7.80    0.81      3.03     0.00   0.00    0.47     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.08    3.89    0.00   0.04
loop11           1.08      8.45     0.00   0.00    0.22     7.82    0.70      2.61     0.00   0.00    0.45     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.07    3.92    0.00   0.03
loop12           0.55      4.26     0.00   0.00    0.22     7.75    0.35      1.30     0.00   0.00    0.55     3.73    0.00      0.00     0.00   0.00    0.00     0.00    0.03    4.99    0.00   0.02
loop2            7.16     79.21     0.00   0.00    0.08    11.06    4.43     16.92     0.00   0.00    0.29     3.82    0.00      0.00     0.00   0.00    0.00     0.00    0.35    2.78    0.00   0.15
loop3            6.20     59.38     0.00   0.00    0.12     9.58    3.87     14.73     0.00   0.00    0.31     3.81    0.00      0.00     0.00   0.00    0.00     0.00    0.32    2.86    0.00   0.14
loop4            4.95     50.18     0.00   0.00    0.12    10.14    3.08     11.71     0.00   0.00    0.33     3.80    0.00      0.00     0.00   0.00    0.00     0.00    0.26    3.03    0.00   0.12
loop5            4.04     46.15     0.00   0.00    0.14    11.41    2.52      9.53     0.00   0.00    0.34     3.79    0.00      0.00     0.00   0.00    0.00     0.00    0.22    3.06    0.00   0.10
loop6            2.90     27.03     0.00   0.00    0.19     9.33    1.84      6.95     0.00   0.00    0.38     3.77    0.00      0.00     0.00   0.00    0.00     0.00    0.17    3.23    0.00   0.08
loop7            2.16     16.91     0.00   0.00    0.19     7.81    1.38      5.21     0.00   0.00    0.40     3.76    0.00      0.00     0.00   0.00    0.00     0.00    0.13    3.36    0.00   0.06
loop8            1.62     12.68     0.00   0.00    0.23     7.81    1.04      3.91     0.00   0.00    0.40     3.75    0.00      0.00     0.00   0.00    0.00     0.00    0.10    3.33    0.00   0.05
loop9            1.25      9.82     0.00   0.00    0.26     7.84    0.81      3.03     0.00   0.00    0.46     3.74    0.00      0.00     0.00   0.00    0.00     0.00    0.08    3.73    0.00   0.04
sda              4.72    147.89     1.76  27.16    0.26    31.33  166.41  64506.23   381.72  69.64   12.47   387.64    5.09  25406.16     0.00   0.00    0.17  4988.79    0.00    0.00    2.08  13.74
sdb              0.08      1.51     0.00   0.00    0.19    18.90    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.00    0.00    3.37    0.00    0.00   96.63

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop10           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop11           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop12           0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop2            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
